id,create_date,rent_price,deposit,floor,area_total,rooms,region,agent_fee,date_only,repair_type_original,renovation_cosmetic,renovation_design,renovation_euro,renovation_no,renovation_unknown,price_for_m2,is_luxury_by_region,month_deposit,deposit_group,is_high_floor,renovation_score,is_small,is_large,is_studio,is_family,is_expensive_region,area_expensive,rooms_scaled,floor_scaled,rooms_x_floor
85,2021-12-06 02:19:13.059000+03:00,90000,90000.0,8,70.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1285.71,1,1.0,2,0,0.0,0,0,0,1,1,70.0,0.5,0.12962962962962962,0.06481481481481481
86,2021-12-06 02:19:06.850000+03:00,35000,35000.0,3,35.0,1,1,45.0,2021-12-06,cosmetic,1,0,0,0,0,1000.0,0,1.0,0,0,0.0,1,0,1,0,1,35.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
87,2021-12-06 02:09:48.036000+03:00,55000,55000.0,7,44.4,2,1,0.0,2021-12-06,euro,0,0,1,0,0,1238.74,1,1.0,2,0,0.4,1,0,0,0,1,44.4,0.3333333333333333,0.1111111111111111,0.037037037037037035
90,2021-12-06 02:04:25.567000+03:00,150000,150000.0,8,62.0,0,1,0.0,2021-12-06,design,0,1,0,0,0,2419.35,1,1.0,2,0,0.6,0,0,1,0,1,62.0,0.0,0.12962962962962962,0.0
91,2021-12-06 02:04:24.942000+03:00,150000,150000.0,2,61.0,2,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,2459.02,1,1.0,2,0,0.0,0,0,0,0,1,61.0,0.3333333333333333,0.018518518518518517,0.006172839506172839
92,2021-12-06 02:01:08.778000+03:00,30000,10000.0,5,39.0,1,1,100.0,2021-12-06,no,0,0,0,1,0,769.23,0,0.3333333333333333,0,0,0.0,1,0,1,0,1,39.0,0.16666666666666666,0.07407407407407407,0.012345679012345678
93,2021-12-06 02:01:07.955000+03:00,30000,30000.0,1,34.0,1,1,80.0,2021-12-06,cosmetic,1,0,0,0,0,882.35,0,1.0,0,0,0.0,1,0,1,0,1,34.0,0.16666666666666666,0.0,0.0
94,2021-12-06 02:00:50.682000+03:00,30000,30000.0,6,35.0,1,1,50.0,2021-12-06,cosmetic,1,0,0,0,0,857.14,0,1.0,0,0,0.0,1,0,1,0,1,35.0,0.16666666666666666,0.09259259259259259,0.015432098765432098
95,2021-12-06 02:00:25.109000+03:00,32000,32000.0,7,33.0,1,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,969.7,0,1.0,0,0,0.0,1,0,1,0,1,33.0,0.16666666666666666,0.1111111111111111,0.018518518518518517
96,2021-12-06 01:59:49.195000+03:00,32000,32000.0,5,38.0,1,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,842.11,0,1.0,0,0,0.0,1,0,1,0,1,38.0,0.16666666666666666,0.07407407407407407,0.012345679012345678
98,2021-12-06 01:58:58.387000+03:00,150000,150000.0,2,146.0,3,1,0.0,2021-12-06,design,0,1,0,0,0,1027.4,0,1.0,2,0,0.6,0,1,0,1,1,146.0,0.5,0.018518518518518517,0.009259259259259259
99,2021-12-06 01:58:01.271000+03:00,150000,150000.0,4,101.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,1485.15,1,1.0,2,0,0.0,0,1,0,1,1,101.0,0.5,0.05555555555555555,0.027777777777777776
100,2021-12-06 01:57:38.431000+03:00,31000,31000.0,14,36.0,1,1,100.0,2021-12-06,cosmetic,1,0,0,0,0,861.11,0,1.0,0,0,0.0,1,0,1,0,1,36.0,0.16666666666666666,0.24074074074074073,0.040123456790123455
104,2021-12-06 01:55:50.895000+03:00,170000,170000.0,3,83.0,3,1,0.0,2021-12-06,cosmetic,1,0,0,0,0,2048.19,1,1.0,2,0,0.0,0,0,0,1,1,83.0,0.5,0.037037037037037035,0.018518518518518517
105,2021-12-06 01:54:07.607000+03:00,165000,165000.0,6,66.6,2,1,0.0,2021-12-06,euro,0,0,1,0,0,2477.48,1,1.0,2,0,0.4,0,0,0,0,1,66.6,0.3333333333333333,0.09259259259259259,0.030864197530864196
106,2021-12-06 01:51:43.280000+03:00,52000,52000.0,3,47.0,1,1,50.0,2021-12-06,design,0,1,0,0,0,1106.38,1,1.0,2,0,0.6,1,0,1,0,1,47.0,0.16666666666666666,0.037037037037037035,0.006172839506172839
107,2021-12-06 01:49:05.360000+03:00,90000,90000.0,3,95.0,3,1,50.0,2021-12-06,design,0,1,0,0,0,947.37,0,1.0,2,0,0.6,0,0,0,1,1,95.0,0.5,0.037037037037037035,0.018518518518518517
111,2021-12-06 01:41:15.508000+03:00,130000,130000.0,9,90.0,3,1,0.0,2021-12-06,design,0,1,0,0,0,1444.44,1,1.0,2,0,0.6,0,0,0,1,1,90.0,0.5,0.14814814814814814,0.07407407407407407
112,2021-12-06 01:39:39.959000+03:00,130000,130000.0,20,87.0,3,1,25.0,2021-12-06,design,0,1,0,0,0,1494.25,1,1.0,2,0,0.6,0,0,0,1,1,87.0,0.5,0.35185185185185186,0.17592592592592593
113,2021-12-06 01:38:13.022000+03:00,100000,100000.0,2,54.0,2,1,0.0,2021-12-06,euro,0,0,1,0,0,1851.85,1,1.0,2,0,0.4,0,0,0,0,1,54.0,0.3333333333333333,0.018518518518518517,0.006172839506172839
